id,struct_id,pka_level,value,pka_type
1173,654,pKa1,7.42,b
7887,4828,pKa1,3.74,a
3301,1856,pKa1,7.96,b
2250,1258,pKa2,10.59,a
3456,1916,pKa2,3.66,b
4302,2389,pKa1,7.78,b
193,120,pKa4,0.34,b
384,227,pKa3,12.03,a
8259,5067,pKa2,12.17,a
6465,3672,pKa1,9.09,b
3531,1966,pKa2,12.35,a
6271,3514,pKa1,6.4,a
2183,1231,pKa2,5.15,a
5434,2968,pKa2,11.9,a
1489,833,pKa1,4.28,a
4050,2254,pKa2,12.04,a
5902,3273,pKa8,9.07,b
5994,3325,pKa2,1.5,a
3696,2054,pKa2,3.58,b
670,392,pKa3,1.44,b
75,56,pKa2,9.21,a
1760,994,pKa15,13.62,a
6168,3456,pKa1,8.9,b
6282,3522,pKa2,6.24,b
178,113,pKa1,11.68,b
8496,5232,pKa13,13.1,a
373,220,pKa1,8.29,b
6073,3382,pKa1,13.69,a
5331,2878,pKa5,12.58,a
1080,596,pKa1,12.19,a
2482,1388,pKa1,12.31,a
3299,1854,pKa3,2.92,b
3339,1874,pKa2,8.23,b
7976,4866,pKa1,10.21,b
1940,1083,pKa2,5.85,b
3263,1835,pKa4,12.8,a
6837,4116,pKa3,6.27,a
3915,2190,pKa1,8.33,b
7108,4285,pKa2,4.25,b
8374,5195,pKa9,12.46,a
807,483,pKa1,8.14,b
7645,4678,pKa6,12.17,a
4377,2422,pKa2,12.53,a
1509,845,pKa3,13.91,a
3717,2067,pKa6,6.9,b
7871,4821,pKa32,10.3,b
2620,1470,pKa2,10.19,a
2829,1581,pKa1,4.42,a
6631,3815,pKa1,7.67,a
3284,1847,pKa1,13.62,a
7886,4827,pKa2,12.82,a
1217,676,pKa1,13.67,a
5753,3165,pKa1,4.79,a
8554,5252,pKa3,6.11,b
1459,816,pKa2,3.43,b
8858,5388,pKa1,8.84,a
5463,2977,pKa6,10.04,b
5237,2830,pKa2,12.11,a
5924,3281,pKa1,4.99,a
1718,978,pKa1,4.95,b
1166,648,pKa3,3.95,b
835,502,pKa1,4.79,a
2041,1137,pKa2,0.46,b
1039,578,pKa1,13.21,a
8216,5013,pKa1,9.4,b
2407,1346,pKa1,13.07,b
4838,2624,pKa1,9.75,a
7595,4652,pKa2,12.53,a
6044,3357,pKa3,2.21,b
7691,4718,pKa1,2.81,a
7912,4832,pKa1,9.69,a
2451,1374,pKa2,11.99,a
508,290,pKa1,7.17,b
4488,2473,pKa3,7.35,b
1095,609,pKa1,6.53,a
1858,1028,pKa1,9.97,a
5155,2799,pKa1,9.85,a
3082,1744,pKa1,2.76,a
1807,1010,pKa18,12.92,a
5195,2810,pKa8,10.75,b
4207,2354,pKa1,4.2,a
5318,2874,pKa2,10.43,a
2295,1293,pKa1,4.96,a
7139,4318,pKa3,4.09,b
553,317,pKa1,7.12,a
2755,1546,pKa1,9.65,a
8443,5208,pKa9,13.22,a
5132,2784,pKa1,10.46,a
872,515,pKa12,13.04,a
6698,3884,pKa1,8.99,b
1948,1091,pKa1,3.31,a
162,104,pKa1,10.01,a
8785,5347,pKa2,8.9,b
6863,4120,pKa1,0.95,a
2412,1347,pKa5,8.52,b
8536,5243,pKa1,4.64,a
8683,5294,pKa6,13.5,a
4540,2499,pKa1,6.53,a
1990,1119,pKa1,12.73,a
7833,4817,pKa3,8.72,a
1234,686,pKa1,9.21,b
5219,2825,pKa1,10.02,a
995,559,pKa1,2.53,a
2587,1450,pKa2,3.52,a
6635,3818,pKa1,9.14,b
7904,4831,pKa13,10.75,b
4646,2543,pKa1,11.23,a
1874,1037,pKa1,4.12,a
624,376,pKa2,8.92,b
7703,4718,pKa13,12.83,a
2046,1142,pKa1,1.68,b
