id,doid,source,xref
550912,DOID:0110853,ORDO,309803
565197,DOID:2601,UMLS_CUI,C0334548
552930,DOID:0080134,ORDO,401874
568648,DOID:0110062,OMIM,614832
575925,DOID:14512,ICD10CM,B37.2
571310,DOID:10913,NCI,C3656
549901,DOID:0110298,ORDO,206559
556339,DOID:0111225,MESH,D020914
559542,DOID:0111665,OMIM,224900
548967,DOID:14748,ORDO,821
563810,DOID:0050004,SNOMEDCT_US_2019_09_01,301990003
544981,DOID:14323,ICD10CM,Q87.4
555357,DOID:9036,ICD9CM,142.0
552410,DOID:5693,NCI,C7811
576668,DOID:0060393,ORDO,261183
575439,DOID:0111400,UMLS_CUI,C3150926
564813,DOID:11685,ICD9CM,702.11
572339,DOID:0060449,MESH,C535480
554019,DOID:0060293,ICD10CM,Q77.3
565374,DOID:6239,SNOMEDCT_US_2019_09_01,128625004
564079,DOID:10264,UMLS_CUI,C0026780
572786,DOID:1826,UMLS_CUI,C0014544
554691,DOID:0080135,OMIM,615330
571439,DOID:3847,UMLS_CUI,C0431128
547261,DOID:5268,MESH,D007890
564739,DOID:13166,NCI,C84547
545882,DOID:0110586,OMIM,616044
550781,DOID:0111366,OMIM,142330
545659,DOID:0060232,ICD10CM,Q87.0
544041,DOID:0111166,MESH,C565374
565173,DOID:1025,UMLS_CUI,C0023351
545346,DOID:13117,UMLS_CUI,C0030578
560278,DOID:14350,UMLS_CUI,C0040150
568543,DOID:4522,NCI,C5378
546671,DOID:6004,NCI,C4982
573032,DOID:11561,UMLS_CUI,C0152132
566841,DOID:134,NCI,C40250
573172,DOID:14548,ICD9CM,365.03
571316,DOID:9975,ICD10CM,F14.2
566515,DOID:0110409,OMIM,612572
542577,DOID:5709,UMLS_CUI,C0545074
557914,DOID:0070212,SNOMEDCT_US_2019_09_01,399889006
575517,DOID:0110973,OMIM,301940
568280,DOID:11198,MESH,D004062
552549,DOID:0111034,MESH,C537247
564681,DOID:5262,UMLS_CUI,C0238152
562642,DOID:11125,ICD9CM,287.1
555830,DOID:0050619,UMLS_CUI,C1335340
571380,DOID:4674,ICD10CM,E34.5
546746,DOID:5940,SNOMEDCT_US_2019_09_01,404037002
565946,DOID:12156,MESH,D001100
547633,DOID:11245,UMLS_CUI,C0158997
576590,DOID:1187,UMLS_CUI,C0751932
556207,DOID:8442,NCI,C93045
571149,DOID:2645,UMLS_CUI,C0025500
552395,DOID:0111485,ORDO,444458
577181,DOID:0060227,ORDO,974
554504,DOID:11153,ICD10CM,L74.0
547100,DOID:0111801,SNOMEDCT_US_2018_03_01,698851003
549108,DOID:0060280,UMLS_CUI,C1864846
542617,DOID:1793,ICD9CM,157.8
565114,DOID:0111668,GARD,3128
543476,DOID:0060812,OMIM,300263
558011,DOID:2755,GARD,7123
561174,DOID:0111147,SNOMEDCT_US_2019_09_01,52097008
564035,DOID:3355,NCI,C3043
572541,DOID:7400,GARD,3904
567860,DOID:11695,ICD10CM,I81
547057,DOID:0060902,SNOMEDCT_US_2019_09_01,717977003
546970,DOID:0110990,OMIM,615636
550809,DOID:13799,ICD10CM,C50.11
568184,DOID:9463,ICD9CM,380.1
560069,DOID:10600,ICD9CM,307.22
551384,DOID:4923,UMLS_CUI,C1336743
548104,DOID:0060825,ORDO,85278
565846,DOID:6961,UMLS_CUI,C1511052
567609,DOID:5532,NCI,C40092
563475,DOID:6367,GARD,9570
564894,DOID:7231,NCI,C6208
543451,DOID:10327,NCI,C34390
554206,DOID:0060381,MESH,C557821
564076,DOID:10264,SNOMEDCT_US_2019_09_01,36989005
547365,DOID:3875,ICD10CM,I80.0
552776,DOID:1312,UMLS_CUI,C0017668
547083,DOID:3128,MESH,D001004
555572,DOID:1440,SNOMEDCT_US_2019_09_01,91952008
552638,DOID:10908,OMIM,236635
572046,DOID:13033,UMLS_CUI,C0004690
