id,tdkey_id,component_id
282692,KW-0472,6842
10648,KW-0511,786
176656,KW-0991,12190
29347,KW-1208,2248
237368,KW-0968,17924
14032,KW-1015,1027
5401,KW-0812,425
209030,KW-0621,15095
123151,KW-0206,6726
301159,KW-0002,2147
292160,KW-1017,19731
272726,KW-0407,22656
115423,KW-1015,5925
223039,KW-1185,16500
253980,KW-0716,19620
29404,KW-0472,2252
146181,KW-1185,9130
296850,KW-0903,21937
133184,KW-0181,7696
94935,KW-0007,3760
129719,KW-1133,7373
289470,KW-0597,16262
167851,KW-1003,11302
185352,KW-0479,13015
279860,KW-0597,2649
4849,KW-0067,388
107378,KW-1185,4966
139022,KW-0181,8408
227722,KW-0181,16974
23028,KW-0460,1690
204425,KW-0181,14660
164302,KW-0862,10907
170200,KW-0393,11547
212386,KW-0025,15464
204479,KW-0007,14665
269359,KW-0181,21191
99305,KW-0621,4169
244307,KW-0181,18642
168553,KW-1133,11369
131230,KW-0963,7518
235546,KW-0025,17716
246907,KW-0834,18887
147092,KW-0808,9217
204032,KW-0677,14623
211764,KW-0539,15397
86976,KW-0479,3024
278680,KW-0550,1008
300521,KW-0597,22476
105970,KW-0130,4818
226537,KW-0621,16858
213327,KW-0413,15542
11613,KW-0683,861
112355,KW-0808,5518
270011,KW-0539,21254
200091,KW-0025,14277
233841,KW-0090,17553
81588,KW-0946,2640
17337,KW-0449,1259
148181,KW-1003,9325
279143,KW-0771,1731
96703,KW-0597,3922
202266,KW-0106,14464
196874,KW-0812,13999
306652,KW-0963,5833
8237,KW-0075,615
141964,KW-0539,8695
89737,KW-1185,3263
188721,KW-0895,13323
210431,KW-1015,15254
119360,KW-0472,6279
91161,KW-0245,3385
25954,KW-0597,1961
233442,KW-0507,17516
82649,KW-0903,2711
182409,KW-0175,12751
147849,KW-0813,9296
212662,KW-1185,15490
139977,KW-1185,8507
261683,KW-0007,20401
209929,KW-0677,15210
144307,KW-0325,8934
82416,KW-0539,2693
28915,KW-0813,2209
145117,KW-0813,9009
81200,KW-0597,2621
101636,KW-0862,4363
116238,KW-0732,5989
290196,KW-0472,17071
98014,KW-0238,4070
120308,KW-0181,6384
258114,KW-0181,20033
140993,KW-0132,8603
202485,KW-0805,14481
238888,KW-0025,18078
279383,KW-0966,2009
176927,KW-0539,12218
90752,KW-0832,3353
6146,KW-0547,479
970,KW-0547,116
99919,KW-0968,4219
4964,KW-0966,397
115762,KW-0796,5948
293360,KW-1017,21158
168660,KW-0539,11379
233650,KW-0677,17536
109574,KW-0082,5265
248159,KW-0325,19049
242878,KW-0225,18495
106397,KW-0963,4855
281240,KW-0832,4851
197095,KW-0181,14016
222681,KW-0413,16460
306035,KW-0206,19601
210797,KW-0037,15288
224087,KW-0007,16621
208999,KW-0507,15090
29653,KW-0851,2271
28392,KW-0445,2167
203865,KW-0158,14611
277596,KW-0181,21613
175353,KW-0379,12072
8883,KW-0225,659
125375,KW-0181,6971
175544,KW-0007,12087
225049,KW-0812,16716
94158,KW-1003,3675
304293,KW-0539,12305
239299,KW-0813,18117
200205,KW-0903,14292
87494,KW-1133,3065
172294,KW-0225,11745
303998,KW-1015,10735
267437,KW-0479,21023
179225,KW-0449,12433
162789,KW-0007,10769
269540,KW-0805,21208
103062,KW-0788,4499
134759,KW-0238,7838
188495,KW-0221,13300
279833,KW-0597,2605
225345,KW-0221,16743
278316,KW-0770,422
238341,KW-0597,18029
95656,KW-0025,3829
224841,KW-0812,16696
13740,KW-0807,1009
297042,KW-0813,21955
172695,KW-0653,11778
252041,KW-0966,19418
139111,KW-0181,8415
83433,KW-0408,2767
4649,KW-0813,371
154391,KW-0597,9917
104081,KW-1133,4594
195933,KW-1185,13930
117053,KW-0181,6080
153947,KW-0863,9880
26985,KW-0489,2052
86052,KW-1185,2957
201355,KW-1185,14389
167332,KW-0175,11229
127651,KW-0472,7178
303218,KW-0819,7737
81287,KW-0448,2628
220610,KW-0217,16275
172947,KW-0379,11803
253000,KW-1133,19498
132294,KW-0002,7609
236815,KW-0360,17871
219425,KW-1185,16132
113244,KW-1185,5650
2158,KW-1185,202
171321,KW-0621,11643
136182,KW-0539,7961
233494,KW-0873,17521
126879,KW-0349,7111
250331,KW-1057,19259
81760,KW-0560,2650
210552,KW-0808,15264
227246,KW-0678,16931
207870,KW-1185,14980
138938,KW-0227,8400
95458,KW-0181,3810
81113,KW-0181,2615
86613,KW-0479,2998
23968,KW-1185,1749
178276,KW-0440,12350
254166,KW-0732,19641
86220,KW-0460,2970
274388,KW-0548,22549
120759,KW-0007,6453
306835,KW-0949,12275
262387,KW-1185,20527
93356,KW-0969,3594
125167,KW-1185,6945
94000,KW-1015,3659
82342,KW-0181,2688
285707,KW-0770,10835
212663,KW-0772,15490
155104,KW-0002,9994
198520,KW-1185,14125
12431,KW-0472,921
117171,KW-0963,6091
233937,KW-0007,17564
132278,KW-0903,7607
108914,KW-0656,5185
146909,KW-0621,9202
112967,KW-0621,5611
290592,KW-0002,17555
154581,KW-0721,9937
113889,KW-0735,5700
257663,KW-0025,19989
28989,KW-0418,2214
104666,KW-1185,4658
198092,KW-0297,14088
165607,KW-0677,11009
166806,KW-0181,11122
297911,KW-0002,22065
276926,KW-0181,21504
109039,KW-1015,5198
12893,KW-0597,951
244676,KW-0903,18685
272256,KW-0181,22627
13479,KW-0498,990
256845,KW-1133,19909
88366,KW-0812,3132
196806,KW-0812,13994
244884,KW-0804,18702
20512,KW-1003,1482
238587,KW-0408,18053
256875,KW-0963,19914
211787,KW-0903,15399
96578,KW-0221,3908
111298,KW-0621,5423
209443,KW-0904,15135
263961,KW-0808,20729
20274,KW-0153,1466
234425,KW-0653,17611
287196,KW-0597,12801
230075,KW-0472,17189
108264,KW-0175,5075
129389,KW-0862,7344
7431,KW-0597,562
92554,KW-1185,3512
128968,KW-0325,7300
103701,KW-0479,4563
166041,KW-0181,11053
140706,KW-0025,8573
189498,KW-0675,13401
245568,KW-0539,18762
26227,KW-1015,1981
118848,KW-0621,6233
165967,KW-0677,11043
292607,KW-0621,20254
219000,KW-0343,16085
244881,KW-0621,18702
138760,KW-0025,8378
279822,KW-0488,2592
301422,KW-0765,3051
306803,KW-0223,10667
258979,KW-1017,20116
206425,KW-0621,14847
250652,KW-0675,19292
274168,KW-0903,22622
99018,KW-0770,4147
302273,KW-0770,4126
200641,KW-0482,14330
271710,KW-0238,21408
11187,KW-0675,830
76860,KW-1185,2333
300008,KW-0002,22347
226009,KW-0813,16813
291935,KW-0833,19416
214143,KW-0968,15628
271510,KW-0621,21390
199627,KW-0479,14236
99081,KW-0460,4151
234787,KW-0964,17643
237491,KW-0991,17935
270550,KW-0025,21309
199654,KW-0641,14238
184873,KW-0677,12977
78767,KW-0903,2457
162761,KW-0991,10765
266726,KW-0863,20962
237035,KW-0025,17896
104071,KW-0225,4594
257988,KW-1133,20021
241661,KW-0969,18362
280195,KW-0464,3407
29236,KW-0206,2234
110753,KW-0732,5355
246777,KW-1133,18874
159189,KW-0539,10396
125444,KW-0963,6979
15368,KW-0720,1117
118287,KW-0621,6183
194969,KW-0682,13860
220840,KW-0479,16294
294,KW-0732,19
25883,KW-0181,1955
202427,KW-1185,14476
117223,KW-0539,6095
289863,KW-0472,16599
258232,KW-0375,20047
140674,KW-0225,8569
291612,KW-0225,18958
117983,KW-0903,6161
16986,KW-0256,1233
261247,KW-0621,20354
229893,KW-0238,17172
136860,KW-0597,8024
83843,KW-0238,2794
301222,KW-0002,2445
146318,KW-0181,9146
283694,KW-0597,8044
9691,KW-0903,713
105056,KW-0966,4701
234239,KW-0025,17594
253300,KW-0597,19535
305239,KW-0225,16346
295716,KW-1048,21828
305943,KW-1064,19330
111985,KW-0137,5485
223079,KW-0689,16504
226334,KW-0813,16841
11050,KW-1133,819
269016,KW-0479,21161
268486,KW-0805,21114
133261,KW-0181,7704
291537,KW-0968,18854
78020,KW-0832,2412
84206,KW-0963,2814
92086,KW-0547,3471
214601,KW-0175,15660
19067,KW-0413,1368
268034,KW-0805,21074
901,KW-0342,107
20484,KW-0181,1479
85162,KW-0446,2888
2892,KW-0325,246
140627,KW-1185,8565
131844,KW-0225,7569
202001,KW-1133,14442
283104,KW-0597,7284
229101,KW-0645,17103
9576,KW-1071,705
161051,KW-0472,10588
100555,KW-0621,4262
83513,KW-0223,2774
281886,KW-0225,5649
167155,KW-1185,11199
281588,KW-0832,5295
87185,KW-1185,3041
169180,KW-1185,11453
221769,KW-0964,16378
135041,KW-0181,7864
132502,KW-1003,7636
106162,KW-1185,4832
173840,KW-0628,11911
293150,KW-1017,20922
218101,KW-0025,15984
132205,KW-1185,7600
10124,KW-0812,742
107701,KW-0025,4995
23661,KW-0446,1730
218536,KW-0472,16034
5267,KW-0631,417
246545,KW-0968,18853
220821,KW-0812,16292
157524,KW-0812,10239
150630,KW-0342,9567
114646,KW-1185,5822
88728,KW-0479,3164
300455,KW-1133,23629
117381,KW-0221,6111
5003,KW-1133,399
103271,KW-0892,4516
264339,KW-0862,20761
117933,KW-0181,6158
109527,KW-1185,5253
262257,KW-1003,20493
189169,KW-0915,13376
78404,KW-0917,2432
280570,KW-0446,3923
81501,KW-0969,2638
204013,KW-0025,14622
205346,KW-0805,14748
106377,KW-0597,4852
266066,KW-0804,20906
261980,KW-1185,20428
305629,KW-0496,17784
123489,KW-1003,6778
178807,KW-0181,12398
186423,KW-0472,13105
263840,KW-0862,20715
298761,KW-0645,22176
242595,KW-0181,18459
114595,KW-1185,5809
89035,KW-0963,3196
235593,KW-0025,17724
91827,KW-0805,3445
27945,KW-0890,2131
200442,KW-0106,14315
111800,KW-0442,5468
123334,KW-0181,6762
147506,KW-0621,9253
245510,KW-0747,18757
306615,KW-0539,2617
95229,KW-0181,3786
99513,KW-0597,4188
86243,KW-1185,2971
16217,KW-0621,1177
14774,KW-0492,1075
231324,KW-0217,17318
145195,KW-0586,9017
165769,KW-0479,11026
188633,KW-0256,13310
194781,KW-0964,13844
85906,KW-0025,2946
182068,KW-0812,12718
79948,KW-0903,2535
228519,KW-0539,17054
7182,KW-0539,545
139012,KW-0217,8407
186131,KW-0903,13080
141529,KW-0274,8652
19375,KW-0181,1395
244814,KW-0597,18696
146931,KW-0025,9204
230160,KW-0181,17198
139374,KW-0963,8441
299363,KW-0002,22262
147094,KW-0007,9218
24883,KW-1185,1849
15871,KW-1133,1152
93546,KW-0964,3610
165562,KW-1185,11005
161802,KW-0325,10641
225955,KW-0915,16809
217323,KW-0002,15910
90603,KW-0547,3342
4427,KW-0160,356
253762,KW-0597,19594
287229,KW-0597,12831
133422,KW-0181,7720
143270,KW-0621,8829
150414,KW-0325,9545
114370,KW-0597,5771
3143,KW-1017,264
25956,KW-1185,1961
154385,KW-0025,9917
207744,KW-0621,14971
155662,KW-0539,10066
202324,KW-1185,14468
278281,KW-0002,374
235068,KW-0678,17668
95467,KW-0678,3810
82547,KW-0181,2704
148695,KW-0336,9368
11227,KW-0539,833
216549,KW-1185,15832
121889,KW-0903,6577
190189,KW-1185,13457
94159,KW-0181,3675
265522,KW-0621,20861
10409,KW-0002,762
302531,KW-0808,5514
253668,KW-0597,19584
190922,KW-0732,13523
199569,KW-0472,14231
6036,KW-0002,471
161923,KW-0677,10649
275315,KW-0862,22419
270892,KW-0479,21338
153911,KW-1185,9878
165309,KW-0007,10985
282953,KW-1017,7159
199093,KW-0181,14184
98186,KW-1185,4082
267560,KW-0479,21034
103051,KW-0621,4498
142712,KW-1185,8775
29525,KW-1015,2262
220955,KW-0863,16304
280561,KW-0002,3919
298369,KW-0436,22125
282490,KW-0945,6441
192292,KW-0675,13645
252930,KW-0677,19489
124113,KW-0732,6830
262555,KW-1185,20571
20632,KW-0688,1490
225480,KW-0458,16754
23823,KW-0521,1741
290491,KW-0255,17442
286025,KW-0621,11293
15032,KW-0297,1095
80175,KW-0969,2549
251743,KW-0862,19387
198867,KW-0181,14160
198518,KW-0597,14125
27614,KW-0472,2106
218309,KW-1185,16009
106430,KW-0788,4858
297406,KW-0456,21996
226472,KW-0811,16852
114829,KW-0145,5856
96919,KW-0833,3943
274891,KW-0965,22379
295901,KW-0408,21842
180316,KW-0333,12541
142681,KW-0597,8772
243671,KW-1185,18585
152310,KW-0347,9723
260750,KW-1185,20309
143825,KW-1133,8877
196794,KW-1003,13994
21540,KW-0378,1562
142287,KW-0804,8726
276310,KW-0472,22500
167167,KW-0621,11202
250615,KW-0002,19290
216066,KW-0175,15784
149710,KW-0025,9462
100928,KW-0735,4297
149291,KW-0325,9420
282299,KW-0739,6232
103580,KW-0181,4552
169883,KW-0479,11518
26971,KW-0406,2051
1587,KW-0025,169
208140,KW-0539,15011
157700,KW-0181,10259
102519,KW-0539,4445
145250,KW-1133,9022
23600,KW-0407,1727
106084,KW-0130,4825
278233,KW-0002,329
246198,KW-0498,18821
195819,KW-0325,13922
237042,KW-0903,17896
190825,KW-0811,13515
140297,KW-1185,8535
299380,KW-0539,22263
126668,KW-0963,7086
99733,KW-0025,4206
24383,KW-0812,1782
305415,KW-0677,17038
