struct_id,atc_code,id
4944,J05AR20,4627
5460,N05AH53,5070
2387,M05BA07,2824
3225,R01AA12,3517
2286,R06AD52,2700
249,R06AX11,266
5167,L03AA10,4817
248,J01CA19,265
271,R06AX19,303
4501,N06BA13,4198
1472,V08AB03,1678
5080,J05AP54,4764
493,A02BX71,537
1506,C01DA14,1725
4382,G04BD12,4104
4918,A16AB09,4593
406,A03FA04,447
3356,G03EA01,3571
5581,A07BC04,5120
4848,H01AC01,4528
1191,H02AA02,1358
4233,V03AB35,3899
3135,D07AB08,3477
2126,A10BD01,2526
463,N06BC01,506
2413,R06AX28,2867
3446,D01AE54,3603
539,J01DC09,579
3407,C05AD06,3589
1171,D11AX10,1336
5247,L01FB01,4883
5158,L03AB61,4812
1005,C09BA02,1132
5356,B06AX03,4984
4985,A10AE05,4671
3152,P03AX05,3490
4221,D11AX06,3888
521,J01DF02,560
1402,A03CB31,1613
667,L04AA40,730
1587,C09BB03,1844
4384,V03AF10,4107
2377,J04BA50,2813
575,J01DB08,619
74,C07FX02,56
2562,G04CA53,3024
974,R02AD04,1092
1820,L01XX23,2151
4212,A12CA02,3880
4657,C03BC01,4319
128,N02CC05,120
2617,R06AX53,3092
1203,M01AE15,1371
2433,H01AC04,2893
935,V04CX04,1048
4755,V09IA09,4414
4953,L04AC01,4636
5180,L01XL02,4826
2286,D04AA10,2698
2610,S01HA03,3076
4866,L01ED02,4543
4520,A12BA04,4209
597,S01AX09,647
2142,C04AB01,2542
4250,A02AB01,3934
4554,R01AD08,4244
2776,G04BD09,3278
2205,N06BX08,2608
450,G01AF15,496
4446,D08AG01,4167
1440,M01AB01,1651
115,G04CA51,107
4244,A02AA04,3910
1098,M05BB01,1258
2428,N05CA06,2890
741,R03BC01,822
1858,C03CD01,2198
4421,D08AG04,4145
5191,A10AB03,4833
2617,R06AX03,3091
882,C01AA05,991
5110,A16AX14,4780
4072,S01XA15,3759
2680,B01AC17,3163
1827,C09BA13,2158
1572,G03AA06,1816
961,J01AA02,1076
1967,J01RA14,2333
3007,P01AR01,3410
1569,J01RA05,1813
968,G03FA17,1084
475,C10BX19,523
1853,A03AD30,2189
3481,D06BB04,3609
4846,B06AC03,4526
1800,A07AC01,2122
2729,N05CD05,3224
1745,H03BB52,2031
192,A02BD05,209
2502,J01EE05,2960
2671,J01RA13,3150
2226,A03AB11,2621
5346,L04AA44,4974
2722,D10AD51,3208
4800,V10XX03,4462
2603,G04BD05,3067
839,V03AF02,931
1407,N02AJ19,1625
328,D10AE51,365
4493,S01BA10,4194
183,C10BX14,198
2694,A10BB05,3171
1367,N05CM10,1554
542,J01DC06,582
2033,A14AA05,2424
413,N02BE74,457
1620,G03AA03,1879
3413,M01CA03,3592
1817,A02BB01,2146
5281,L04AC17,4914
2540,N03AX03,3002
4410,L03AX16,4133
2529,S01AB02,2994
1673,N04BA04,1941
792,V03AC01,873
2821,N02BG05,3326
3188,G03CC04,3505
1904,J05AR05,2259
1305,A10BB11,1509
1014,C01CE03,1140
1706,N02AX05,1976
2447,J01GB08,2913
74,N02AJ02,67
4817,A07AA13,4491
1043,N02CA02,1175
1208,S01BA07,1397
3687,C02LA07,3686
5225,V03AE10,4862
396,S01EC04,437
2715,N06AF04,3201
1887,C07BB12,2235
1594,S01AE04,1851
55,G01AB01,33
1579,D04AB01,1829
2650,N06AX14,3128
2781,M03AA02,3284
4229,S01EE05,3898
34,J05AR04,11
645,A02BA01,704
4548,D07XB01,4236
257,C10BX08,283
4191,G04BD13,3848
2759,D05BA01,3260
908,M03AA04,1021
4137,N05AX13,3784
256,N06BA09,277
2445,C10BX04,2909
2457,G04BD08,2921
4951,L04AA52,4634
1602,N05CD11,1859
4151,G04CA04,3795
5269,S01EX05,4899
1932,L01EA03,2287
4968,L04AB05,4653
2228,C03AB05,2623
2846,J02AC03,3360
1187,J02AC01,1353
2725,D07CB01,3216
2369,C02LA02,2797
661,M03AC11,724
1475,R03AL01,1683
4122,M01CB03,3779
2258,C01CA13,2664
4114,A10BD10,3770
2007,N06AX10,2391
605,N01BA04,659
4228,R07AX32,3897
5470,V03AX04,5080
5322,L04AA43,4951
1955,A02BA04,2315
1759,C03AA08,2050
1787,P02BB01,2092
2371,D06AX13,2804
4262,V03AN03,3946
1790,J01RA10,2107
1316,A06AX01,1517
861,S02DA03,963
2272,L01XB01,2682
4706,M01CB01,4367
884,C02LG51,995
5418,L04AA41,5039
3342,G03BB01,3562
2631,J04AM04,3111
2723,R03CC09,3211
2055,A11HA31,2456
2433,V04CD03,2894
284,A07EC04,317
3317,L04AX04,3558
1921,C10AD05,2273
420,N04BX03,469
1231,B03AD01,1427
1605,R06AX13,1862
1239,R03AL05,1448
4373,A16AX11,4091
5078,A10BG04,4761
4118,L01EX03,3777
1481,C09DX07,1694
4228,R07AX31,3896
2234,N06BX16,2627
4335,M02AA03,4047
1417,J05AB02,1632
1157,N06BA08,1318
4553,D07XB03,4242
1790,J01RA04,2106
4908,A03FA10,4581
4452,D07AD01,4171
136,N05BA12,125
5021,A16AB03,4710
1082,G03AA06,1222
1916,C10AD03,2268
4563,L02AB03,4259
1149,N06BA10,1303
3277,A01AB12,3533
4161,L01EG01,3805
1358,C05BA53,1547
1539,J05AR04,1771
4553,D07CB02,4241
4776,G01AA09,4435
4384,V03AF04,4106
1448,V09IX01,1661
1429,D06BB10,1643
1155,G02CA03,1313
4553,D07AB07,4240
4844,A12AA30,4524
4333,R07AB06,4043
4370,V09EX02,4088
2295,C01DA07,2707
3424,N02AD01,3595
2174,A03AX04,2577
3625,D01AE03,3662
640,J01DH56,699
1150,A08AA02,1304
1519,S01AA24,1739
4877,D01AE24,4555
5222,L01XK02,4859
2056,A03AD01,2458
1725,A10BD08,1997
2755,J01EE05,3254
4264,D02AE51,3949
2376,A02BD16,2806
3312,C07FX06,3557
4906,C09CA10,4576
3027,D11AC09,3429
4795,S01AX07,4456
2241,P02BA01,2637
180,N06CA01,164
2738,A16AX12,3233
2028,G04BD04,2411
5141,B01AD02,4798
1704,N05BC01,1973
183,C09DB06,184
798,C09BA12,879
1985,C09DA08,2359
3063,J04AB30,3437
2517,P01BF04,2978
2113,N05AB03,2515
1162,C03BA13,1321
1075,B02BX01,1209
1497,J04AM08,1714
2395,A03AA06,2839
5314,L01FB02,4944
2500,J01EE02,2956
4398,L01BC53,4122
1519,A07AA08,1737
1433,C09BX01,1646
2481,A07AA04,2941
3083,R02AA06,3452
4404,B03BA04,4128
2611,J01RA08,3082
3649,C04AX24,3675
5236,R05DB02,4871
1832,R03AL12,2169
2585,N05CD07,3039
2806,C10BX10,3307
2618,C03BD01,3093
2282,P01BB01,2692
584,N07AX03,627
543,J01DD12,583
1016,A02BB02,1141
