id,appl_type,appl_no,product_no,exclusivity_code,exclusivity_date
24316,N,206334,001,NCE,2019-08-06
25153,N,217660,002,ODE-433,2030-04-26
24051,N,020819,001,ODE*,2023-10-18
25458,N,215256,001,NPP,2025-12-23
25384,N,215039,003,NCE,2024-05-24
25528,N,212994,001,NCE,2026-05-07
24354,N,204275,001,NPP,2026-05-13
25491,N,211675,001,I-880,2024-12-14
25378,N,215390,002,NP,2025-04-05
25256,N,213217,001,I-871,2024-08-31
25518,N,214662,001,NCE,2026-09-29
24065,N,021986,002,ODE-164,2024-11-09
24296,N,203085,001,ODE-139,2024-04-27
24573,N,209394,001,M-259,2023-04-10
25020,N,210861,001,ODE-221,2025-11-26
24495,N,210251,001,NCE,2023-02-07
25598,N,217513,001,ODE-428,2030-03-16
24329,N,204026,002,ODE-296,2027-05-14
24601,N,206192,001,I-902,2025-10-28
25790,N,213978,001,NP,2024-10-15
25635,N,213498,006,NCE,2026-03-18
25939,N,202192,003,PED,2029-03-22
24347,N,204114,001,ODE-182,2025-04-30
25186,N,214755,004,NP,2026-05-01
24920,N,208341,002,ODE-376,2028-06-10
25350,N,211733,001,NP,2023-02-28
25445,N,211635,003,ODE-279,2027-01-10
24350,N,204114,001,I-908,2026-03-16
26041,N,215110,001,PED,2028-12-10
24621,N,208573,003,ODE-185,2025-06-08
24389,N,205053,001,ODE-355,2028-06-17
24608,N,208082,002,ODE-134,2024-04-03
26062,N,212862,001,GAIN,2029-08-14
24307,N,203341,002,ODE-163,2024-12-19
24670,N,209939,001,ODE-423,2030-06-05
24894,N,207925,005,ODE-435,2030-05-03
25121,N,214938,001,ODE-387,2028-11-19
25910,N,204114,003,PED,2024-12-22
24188,N,022406,003,M-284,2023-03-10
24213,N,022580,002,NPP,2025-06-24
24606,N,208082,001,ODE-134,2024-04-03
25698,N,202408,001,ODE-235,2026-03-29
24097,N,021283,001,NPP,2024-04-19
24594,N,208944,002,ODE-153,2024-08-24
24815,N,208030,001,ODE-417,2028-04-30
25150,N,214998,003,ODE-398,2029-04-28
25937,N,202192,005,PED,2029-03-22
24644,N,208772,002,I-847,2023-05-22
25430,N,210136,001,NP,2026-05-23
25682,N,211617,001,NCE,2025-02-21
24925,N,208341,001,ODE-376,2028-06-10
25904,N,204026,003,PED,2024-05-20
24472,N,208610,001,NCE,2022-06-19
25118,N,214938,003,NCE,2026-11-19
24984,N,212306,003,ODE*,2027-06-22
24490,N,210491,001,ODE-173,2025-02-12
25324,N,209884,003,M-274,2025-03-01
24433,N,202270,002,M-187,2023-12-04
25316,N,214487,001,ODE-377,2028-10-07
26070,N,211109,002,GAIN,2028-08-27
25905,N,204026,002,PED,2024-05-20
24048,N,020263,009,NS,2026-04-14
25744,N,212608,002,I-864,2024-06-16
24875,N,209805,001,M-275,2024-09-17
24604,N,208082,003,ODE-134,2024-04-03
25712,N,215110,001,ODE-372,2028-06-10
24409,N,205551,001,M-294,2026-06-15
24673,N,209940,002,ODE-423,2030-06-05
25769,N,212608,005,ODE-434,2030-05-22
24163,N,022254,001,I-878,2023-11-16
25940,N,202192,002,PED,2029-03-22
24625,N,206488,002,ODE-122,2023-09-19
24384,N,205437,002,I-884,2024-12-20
25272,N,213736,001,NCE,2025-04-17
25756,N,212608,003,ODE-434,2030-05-22
24249,N,203565,001,NPP,2024-11-19
25448,N,212123,002,NCE,2025-05-28
24558,N,022225,001,M-291,2024-01-22
24078,N,022044,001,M-187,2023-12-04
24941,A,209613,002,PC,2023-09-08
25864,N,022518,003,PED,2023-02-12
24595,A,209601,001,PC,2023-09-08
24728,N,206709,001,NCE,2023-08-20
25225,N,215092,001,NCE,2027-09-22
24455,N,204447,003,M-267,2023-11-13
24841,N,205422,003,I-913,2026-05-10
25835,N,021506,003,PED,2023-06-20
24774,N,208692,003,I-854,2024-01-22
25207,N,212018,001,NCE,2024-04-12
24341,N,204114,002,ODE-182,2025-04-30
24353,N,204275,003,NS,2026-05-13
24967,N,208658,001,M-296,2026-06-20
25746,N,212608,002,ODE-434,2030-05-22
24194,N,022433,002,I-851,2023-05-28
25060,N,216986,002,NCE,2027-09-21
24378,N,205596,001,I-881,2024-06-17
25901,N,204026,001,PED,2027-11-14
24671,N,209939,001,I-916,2026-06-05
25863,N,022512,001,PED,2024-12-21
25455,N,215256,003,NP,2024-06-04
24466,N,209115,001,I-830,2023-05-15
24741,N,207223,001,ODE-403,2029-07-14
24526,N,211358,002,ODE-408,2029-09-02
25151,N,214998,003,NCE,2027-04-28
24812,N,208030,002,ODE-417,2028-04-30
24383,N,205437,002,M-257,2023-04-10
24401,N,205677,001,I-850,2023-12-01
25838,N,022185,001,PED,2023-01-25
25352,N,214231,001,NCE,2026-03-22
24661,N,209363,001,NPP,2025-01-26
24087,N,021038,004,NPP,2025-12-16
24667,N,209939,002,ODE-423,2030-06-05
26031,N,217003,001,PED,2030-02-24
25672,N,213246,002,ODE-303,2027-05-08
25014,N,215152,001,NCE,2027-05-03
25059,N,216986,003,NCE,2027-09-21
24128,N,021880,006,ODE-241,2026-05-28
24482,N,208843,002,ODE-177,2024-12-21
25189,N,214755,003,ODE-431,2030-05-01
24709,N,210563,003,ODE*,2024-08-02
24149,N,022195,001,NPP,2024-06-02
24689,N,210115,001,ODE-360,2028-07-16
25244,A,202073,002,PC,2023-11-28
25300,N,215498,002,ODE-436,2030-06-13
24276,N,202570,001,I-897,2025-07-14
26080,N,210910,001,GAIN,2028-11-16
26078,N,209817,001,GAIN,2028-10-02
25855,N,022433,002,PED,2025-11-09
25001,N,213687,001,ODE-311,2027-06-30
25421,N,214916,001,NCE,2026-08-23
25277,N,215596,001,ODE-388,2028-11-23
25539,N,215974,001,NCE,2027-12-22
25510,N,209899,003,NCE,2025-03-25
24512,N,206111,001,NPP,2026-06-20
26002,N,208026,002,PED,2026-12-20
24555,N,204370,004,I-904,2025-12-16
25467,A,208768,001,PC,2023-12-26
25776,N,212154,001,NCE,2025-08-12
25489,N,211675,001,NCE,2024-08-16
25596,N,216157,001,ODE-394,2028-12-17
24281,N,202714,001,I-842,2023-08-20
25626,N,213871,001,NCE,2027-01-14
25129,A,214136,001,CGT,2023-03-13
26055,N,207501,001,GAIN,2027-03-06
26006,N,208341,002,PED,2024-01-14
26025,N,214358,006,PED,2024-12-21
24603,N,206192,001,ODE-416,2029-10-28
24633,N,208447,001,ODE-277,2026-10-23
24510,N,206111,003,NPP,2026-06-20
24998,N,211723,001,I-836,2023-06-18
24692,N,209521,001,NCE,2023-10-01
