ndc_product_code,label_id,id
43419-076,8d420e4b-c778-3ed4-e053-2995a90a59a9,124648
50090-4360,1009aa5e-282e-4675-8c3e-aad545ede213,37450
63931-4451,b9463fbf-5d6d-7266-e053-2a95a90ae4fb,121254
51662-1261,74f84173-a43f-7788-e053-2991aa0a8fb2,21596
41250-635,b3ba676e-9377-4665-b99e-d4143df96b36,129436
67536-883,bf4dd60f-3423-4693-8418-85e7b1577c89,85340
53329-652,6823d475-84c6-4d9f-838d-925ccfb96c97,134657
42549-521,54b8f75f-0b85-4685-aae6-dfc8d1fbaf76,3887
76772-001,0c0657b3-6d67-4bf9-9a97-4c439efe1d2b,103766
16571-778,86b0c5a0-ff3c-4840-a4ac-82af922d58bf,37564
98132-710,5a451bf6-3383-4955-a4db-2e41573d26c9,82880
55910-415,6f0adbd8-997d-4c56-845e-82f721b19463,85211
58411-417,c7c7f978-e962-484e-8fd5-2fd0d929d480,88955
70518-1689,7ca8728d-9936-4d43-9671-16621260d654,133575
49967-262,8e076c30-d9bd-44b9-8b3f-d3f0ff5076c4,127402
66288-1300,cf13db9c-d8a1-489f-9aa0-fc70839d4bbc,28313
52389-153,fb9a5647-b7c9-4820-b148-91060e34cb83,134428
72162-1741,99918613-7936-47dd-8565-9cd6c0cc22e3,70221
70005-007,86a72307-cd3b-4f71-8be2-537ffe4fe200,84096
50090-3539,ef4e97a7-cd18-47a9-a016-2eca5481a87e,20450
68026-806,6b15706b-19ad-beba-e053-2991aa0a1734,89867
76398-013,eac7d416-c243-4647-e053-2a95a90abcb7,147969
65692-0551,b7293e9c-cb36-ffdd-e053-2a95a90a912a,119694
30142-510,cc536b67-8b0b-4939-b0fb-9a9e4188c4e5,140259
74721-0002,a49781da-5ec6-e2c3-e053-2995a90ab9d2,106999
21695-831,27badbda-3635-444e-8005-5d5ee16f8c3c,2513
37000-866,d7fe6a64-2306-44ca-90f3-9fc84f14619e,122546
65133-190,ae48aa6d-9242-4bac-a5aa-bda0ce0b2849,100287
67345-6087,dbff9d17-31b5-4ea2-8d73-fe08fbaf59ec,76158
39822-0350,61f4851d-d919-400d-912a-05eb9dca11d4,58528
52000-110,3411924d-1002-460c-83e8-c0c7fbff9ad1,106424
63629-1339,bd89c175-7eb7-6abf-d30f-c6563ec0a525,26881
98132-721,d7a4fc62-6fe4-4f10-8b29-d3bfa4818800,80642
54868-5312,101de879-bb0a-4157-9c0d-2c5720dd454e,4105
68745-2150,d8e64d1a-63a0-44cb-8f93-777cd6fc1173,149726
83437-002,fb0b58ea-565b-9aae-e053-6394a90acbbf,150976
53217-323,5659e616-4858-4543-8e0b-c5477519f8fe,11988
75549-770,6a7b4e1e-ea50-4c9c-9c27-b2d7cc4af7f7,105435
0527-4667,2cedb4c2-1e40-4bc4-b9f4-127150c4afbd,72815
