id,appl_type,appl_no,product_no,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag
216200,N,022118,002,8124125,2024-10-01,,Y,U-1234,
221388,N,210526,004,11590081,2038-09-24,,Y,U-3538,
226415,N,204485,001,9687526,2035-01-30,,,U-1857,
232158,N,021929,001,8387615,2027-03-26,,Y,,
218347,N,202107,001,10151763,2037-01-18,,,U-1643,
229056,N,212994,003,10584113,2037-12-09,,Y,,
217269,N,021929,002,8143239,2023-01-29,,Y,U-2002,
223977,N,210132,001,9301920,2032-11-21,,Y,U-2439,
219870,N,212480,002,8618076,2030-12-11,Y,Y,U-1470,
228105,N,022249,001,8895756,2026-01-12,,Y,,
230580,N,203389,001,9173851,2034-06-17,,Y,,
221366,N,208051,001,9139558,2028-10-15,,,U-3097,
234138,N,208798,006,10561808*PED,2032-07-01,,,,
230846,N,021038,003,8242158,2032-01-04,,Y,,
221524,N,022200,001,8461105,2025-04-13,,Y,U-3190,
230075,N,022272,002,9522919,2025-03-30,Y,Y,,
228266,N,022115,002,9144547,2023-09-22,,Y,,
218990,N,207986,001,9603796,2029-04-21,Y,Y,U-2252,
224377,N,212489,001,9745290,2027-10-10,,Y,U-2811,
224458,N,020866,001,10688155,2030-06-07,,,U-2892,
228802,N,210563,003,7514444,2026-12-28,Y,Y,,
223120,N,208658,003,10596120,2032-03-07,,Y,U-2792,
233106,N,206321,001,9616180*PED,2026-07-20,,,,
234344,N,208658,001,7713938*PED,2027-10-15,,,,
229760,N,205552,001,9725455,2033-06-03,Y,,,
216772,N,022430,001,8957113,2025-03-04,,Y,U-1182,
223330,N,205834,001,9284342,2030-09-13,Y,Y,U-1470,
222961,N,206940,002,8772325,2025-03-14,,,U-1709,
228024,N,202971,004,8722679,2024-10-19,,Y,,
224560,N,215888,001,8754227,2031-04-22,,,U-3366,
218403,N,208573,002,9174982,2030-05-26,,,U-2537,
227524,N,022428,001,8450311,2029-05-29,,Y,,
218116,N,206089,001,8492369,2030-12-20,,Y,U-2506,
226654,N,210583,001,9974746,2030-05-26,,Y,,
224286,N,213674,002,8183274,2026-08-24,,,U-2345,
220887,N,208780,001,8609701,2029-04-22,,,U-2068,
234523,N,214187,001,8735372*PED,2028-09-21,,,,
219305,N,022517,001,9504647,2023-05-07,,Y,U-2326,
233431,N,205552,001,10016435*PED,2031-12-03,,,,
219158,N,050790,002,8633162,2024-08-27,,,U-1479,
231474,N,211651,005,8735392,2031-10-20,Y,Y,,
224891,N,021454,001,7320968,2025-01-18,,,U-843,
232257,N,212436,003,11065250,2036-05-24,,Y,,
229422,N,214755,004,11052061,2037-07-21,,Y,,
227215,N,211746,001,11679210,2038-09-03,,Y,,
229020,N,208026,001,9415016,2029-04-02,,Y,,
217490,N,021436,006,9387182,2023-12-25,,,U-1529,
226420,N,209203,002,9216179,2031-08-01,,,U-2104,
221917,N,215309,001,9974790,2026-12-12,,,U-3229,
223310,N,208564,002,9180091,2033-12-20,,Y,U-2317,
222656,N,208564,002,10668082,2033-06-18,,,U-2316,
216374,N,050808,006,7919483,2027-03-07,,,U-1078,
227536,N,201739,001,8920377,2024-11-23,,Y,,
224933,N,202057,001,10792270,2033-06-28,,,U-2962,
222658,N,210132,001,10675288,2032-11-21,,,U-2439,
225855,N,205649,004,8685934,2030-05-26,,,U-1522,
223424,N,208573,003,9174982,2030-05-26,,,U-2323,
217648,N,210563,001,9801883,2031-06-03,,,U-2159,
225398,N,203469,003,11384086,2033-12-12,Y,Y,U-1700,
233675,N,208082,002,11564917*PED,2036-09-07,,,,
222506,N,213217,001,11142528,2034-04-22,,Y,U-2666,
225217,N,208564,002,10888516,2033-06-18,,,U-2317,
223961,N,215422,003,11491125,2041-09-29,,Y,U-3488,
227348,N,206627,005,9095615,2027-08-24,,Y,,
233074,N,206439,004,8173708*PED,2026-05-22,,,,
