id,struct_id,drug_class_id
2421,1870,6115
2695,1610,6389
299,1906,3993
4603,1819,7737
3974,4717,7611
1936,707,5630
507,1683,4201
3786,4565,7481
1263,55,4957
3511,4182,7206
3163,157,6858
372,1078,4066
4137,419,7709
3194,475,6889
35529,4110,7709
3775,4554,7470
1915,696,5609
1418,2607,5112
1701,1530,5395
2758,296,6452
181,1767,7748
340,346,4034
1827,607,5521
737,3848,4431
1729,374,5423
319,26,4013
3114,235,6809
4698,209,7754
3224,2785,6919
3823,4819,3864
12060,1092,7709
3353,2949,7048
1837,1606,5531
3287,1464,6982
1019,1285,4713
1821,1967,5515
4437,2134,7722
4205,1816,7709
1368,1640,5062
2939,1222,6633
1985,128,5679
432,3640,4126
1697,1779,5391
962,1109,4656
3446,4201,7141
2874,2325,6568
2585,2709,6279
3883,4605,7520
4118,621,7711
1901,73,5595
1413,3498,5107
4172,3944,7709
2331,2254,6025
3816,4824,3857
4309,3609,7712
1034,2329,4728
1148,1677,4842
4452,758,7723
1397,1431,5091
2477,1175,6171
1519,2220,5213
585,1624,4279
3349,813,7044
1636,1733,5330
3020,2765,6715
921,105,4615
2965,2237,6660
4631,4151,7737
347,3460,4041
4591,4183,7737
1073,686,4767
3896,4618,7533
4280,1794,7715
1095,3816,4789
1716,1623,5410
221,4235,3915
1651,1915,5345
1196,2195,4890
2813,1303,6507
3140,3726,6835
926,3840,4620
1241,3131,4935
2301,1547,5995
3489,4162,7184
2472,1363,6166
2885,3578,6579
918,1839,4612
1060,1277,4754
2088,3552,5782
2468,2368,6162
1122,1163,4816
1143,630,4837
900,2820,4594
443,2059,4137
4439,2267,7722
4521,1513,7735
1996,1584,5690
4350,2389,7711
4801,1497,7756
317,1725,4011
3365,2810,7060
2469,283,6163
2103,3765,5797
460,3745,4154
3552,4298,7247
1804,1652,5498
537,1378,4231
4725,3312,7754
4697,2270,7754
923,435,4617
4625,2389,7737
1083,2699,4777
1347,461,5041
4120,647,7712
1762,2523,5456
2193,2405,5887
