id,property_type_id,property_type_symbol,struct_id,value,reference_id,reference_type,source
4259,1,BA,2464,95.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
9162,1,BA,1236,1.0,3715,JOURNAL ARTICLE,DruMAP
1117,4,EoM,1540,10.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
340,9,S,537,0.1,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
959,9,S,1299,0.03732,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
4355,1,BA,2799,83.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
5762,8,Vd,1212,2.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4954,3,CL,434,19.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8861,2,BDDCS,4324,4.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
3289,7,MRTD,4380,5.423999786,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
3645,1,BA,460,65.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
1906,2,BDDCS,2611,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3855,1,BA,1171,63.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
7158,5,fu,2607,0.057,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2279,7,MRTD,60,11.11769962,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
5355,8,Vd,805,7.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
448,2,BDDCS,633,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4620,3,CL,48,1.28,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2474,7,MRTD,624,59.66180038,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
1565,9,S,2145,0.7,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7390,6,t_half,2825,23.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2349,7,MRTD,279,305.4401855,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
126,2,BDDCS,203,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
166,9,S,269,10.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2131,2,BDDCS,2872,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1997,4,EoM,2722,0.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4650,8,Vd,112,0.33,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2581,7,MRTD,926,5.891359806,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
691,9,S,928,0.2,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6002,8,Vd,1466,0.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1512,2,BDDCS,2046,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
